name,clanscore
KAI HIWATARI,1301
emnil007,619
Eleiken,750
arggggggah,526
Yash,441
Joyotri,488
kking,420
MASTER SARVESH,131
kindstonge17,815
gautam,139
raful,200
Flix-Flop,111
*..flow..*,85
AllNaMundy,176
Bennie,146
2ndprototype,167
Rider_22,255
Born to be King,311
Grandpa1,159
jonpai,300
kyaw_ein,78
Little8uddy,151
Trapsus,85
Admiral-V,202
GUDETAMA,138
Pixyy,147
MIT PATEL,181
兲 H⊘ʅ⊘ćäυ₴ҭ,104
jai hind,461
Rafael,150
Díjú bháí,269
maviphi,140
rydoly,160
Izzmanelham,152
Uncle Hope,207
madsjeet,622
Max,167
jacob,280
.Nêmmlm.,192
stressball,130
Raj,84
Rajibl,97
ark316,125
VSL_SMIT...√,226
fail_org,517
Ballistaaa,410
LordHoodAs,260
GOD OF UNDEAD,209
devil recite,288
lolilabo,180
arshul,287
Nayan,97
